t_rel_s,phase,mv,ma,watt,temp_max_c
43.364,warmup,4944.0,1800.0,8.8992,62.16
43.464,warmup,4952.0,1792.0,8.8740,62.44
43.564,warmup,4952.0,1784.0,8.8344,62.34
43.664,warmup,4952.0,1768.0,8.7551,62.06
43.764,warmup,4944.0,1784.0,8.8201,62.12
43.865,warmup,4944.0,1800.0,8.8992,62.25
43.965,warmup,4944.0,1792.0,8.8596,62.19
44.065,warmup,4952.0,1784.0,8.8344,62.22
44.165,warmup,4952.0,1768.0,8.7551,62.28
44.265,warmup,4944.0,1784.0,8.8201,62.25
44.365,warmup,4944.0,1792.0,8.8596,62.34
44.465,warmup,4944.0,1792.0,8.8596,62.31
44.565,warmup,4944.0,1784.0,8.8201,62.38
44.666,warmup,4952.0,1768.0,8.7551,62.22
44.766,warmup,4944.0,1776.0,8.7805,62.25
44.866,warmup,4944.0,1792.0,8.8596,62.50
44.966,warmup,4944.0,1784.0,8.8201,62.38
45.066,warmup,4944.0,1776.0,8.7805,62.09
45.166,warmup,4952.0,1768.0,8.7551,62.38
45.266,warmup,4944.0,1776.0,8.7805,62.38
45.367,warmup,4944.0,1792.0,8.8596,62.28
45.467,warmup,4944.0,1784.0,8.8201,62.16
45.567,warmup,4944.0,1784.0,8.8201,62.22
45.667,warmup,4952.0,1760.0,8.7155,62.12
45.767,warmup,4944.0,1776.0,8.7805,62.28
45.867,warmup,4944.0,1792.0,8.8596,62.34
45.967,warmup,4944.0,1792.0,8.8596,62.31
46.068,warmup,4952.0,1784.0,8.8344,62.34
46.168,warmup,4952.0,1768.0,8.7551,62.22
46.268,warmup,4952.0,1784.0,8.8344,62.41
46.368,warmup,4944.0,1792.0,8.8596,62.47
46.468,warmup,4944.0,1792.0,8.8596,62.34
46.568,warmup,4944.0,1784.0,8.8201,62.50
46.668,warmup,4952.0,1760.0,8.7155,62.34
46.768,warmup,4944.0,1776.0,8.7805,62.38
46.869,warmup,4944.0,1792.0,8.8596,62.62
46.969,warmup,4944.0,1784.0,8.8201,62.50
47.069,warmup,4944.0,1776.0,8.7805,62.31
